MessageType,TransmissionType,SessionID,AircraftID,AircraftHex,FlightRecorderNum,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign/FlightNum,Altitude,GroundSpeed,Track/Heading,Latitude,Longitude,VerticalRate,SquawkCode,Alert (Squawk Change),Emergency,SPI,OnGround
MSG,8,1,1,A902B5,1,2020/01/30,18:53:36.281,2020/01/30,18:53:36.333,,,,,,,,,,,,0
MSG,3,1,1,A902B5,1,2020/01/30,18:53:36.329,2020/01/30,18:53:36.342,,37000,,,40.69946,-87.36122,,,0,,0,0
MSG,8,1,1,C03BF1,1,2020/01/30,18:53:36.375,2020/01/30,18:53:36.395,,,,,,,,,,,,0
MSG,7,1,1,A2BA4F,1,2020/01/30,18:53:36.386,2020/01/30,18:53:36.441,,36000,,,,,,,,,,
MSG,8,1,1,A959DF,1,2020/01/30,18:53:36.387,2020/01/30,18:53:36.442,,,,,,,,,,,,0
MSG,4,1,1,A6D3C2,1,2020/01/30,18:53:36.505,2020/01/30,18:53:36.553,,,408,224,,,0,,,,,0
MSG,7,1,1,A6D3C2,1,2020/01/30,18:53:36.507,2020/01/30,18:53:36.554,,38025,,,,,,,,,,
MSG,4,1,1,C03BF1,1,2020/01/30,18:53:36.525,2020/01/30,18:53:36.557,,,453,338,,,0,,,,,0
MSG,8,1,1,A6D3C2,1,2020/01/30,18:53:36.540,2020/01/30,18:53:36.560,,,,,,,,,,,,0
